0.0,0.0,1.947,0.658,1.378,2.232,2.375,73.044
0.0,0.073,2.603,1.158,1.382,2.478,3.223,163.275
0.0,0.0,0.496,0.015,0.015,0.0,0.077,1.475
0.0,0.411,0.606,0.03,0.14,0.015,0.066,0.237
0.0,1.272,0.616,0.045,0.2,0.045,0.282,0.0
0.0,1.331,0.555,0.0,0.292,0.0,0.31,0.0
0.0,1.362,0.689,0.0,0.278,0.0,0.205,0.0
0.0,1.36,0.795,0.03,0.358,0.03,0.197,0.0
0.0,1.126,0.882,0.0,0.415,0.0,0.304,0.203
-0.01,0.0,0.994,0.3,0.657,0.184,0.0,1.658
-0.043,0.0,2.866,2.567,3.481,2.955,0.0,18.203
0.043,0.0,2.87,2.718,3.481,3.076,0.0,251.933
